model,data,r^2,mae,mse,rmse
Linear Regression,Train,0.6125511913966952,0.5286283596581934,0.5179331255246699,0.7196757085831575
Linear Regression,Test,0.575787706032451,0.5332001304956565,0.5558915986952442,0.7455813830127763
Polynomial Regression,Train,0.6852681982344955,0.4608379369399139,0.4207266151573555,0.6486344233521341
Polynomial Regression,Test,0.6456819729261944,0.4670009334696585,0.46430152383011697,0.6813967448044619
Ridge Regression,Train,0.61255112185504,0.5286242520661437,0.5179332184864393,0.7196757731690288
Ridge Regression,Test,0.5758157445838731,0.5331931191661988,0.5558548567257237,0.7455567427940838
Lasso Regression,Train,0.6125094060614302,0.5287025603118113,0.5179889832504243,0.719714515103332
Lasso Regression,Test,0.5768562876644283,0.5331447742495194,0.5544913197307176,0.7446417391811432
ElasticNet Regression,Train,0.6125128011367564,0.528688860277376,0.5179844447877009,0.7197113621360308
ElasticNet Regression,Test,0.5767935914852493,0.5331401278332905,0.5545734773668153,0.744696903019487
Decision Tree Regression,Train,0.7445194235914168,0.408008707959962,0.34152086807839804,0.5843978679618861
Decision Tree Regression,Test,0.68209168806759,0.44555294198790946,0.41658990621363867,0.6454377632379737
Random Forest Regression,Train,0.9123646654781358,0.21516525138596965,0.11714900577170592,0.3422703694036425
Random Forest Regression,Test,0.7995042884834431,0.33178557238514955,0.2627313804700934,0.5125732927787922
Gradient Boosting Regression,Train,0.8252881754879428,0.33710401047820765,0.2335509603496961,0.48327110440175924
Gradient Boosting Regression,Test,0.7924515339753149,0.3550162110383899,0.27197337329887367,0.5215106646070372
HistGradientBoosting Regression,Train,0.8973667860865712,0.25391001641267885,0.13719784416539513,0.37040227343443116
HistGradientBoosting Regression,Test,0.8430799218905215,0.30119443453580913,0.2056294792209239,0.4534638676023966
